state,x,y
Rajasthan,-182,75
Gujarat,-224,-6
Maharashtra,-165,-105
Goa,-207,-194
Karnataka,-155,-203
Kerala,-160,-288
Tamilnadu,-73,-275
Andhra Pradesh,-85,-209
Telangana,-77,-128
Madhya Pradesh,-100,-3
Chhattisgarh,-8,-39
West Bengal,113,-3
Haryana,-138,150
Punjab,-164,193
Delhi,-119,133
Himachal Pradesh,-111,223
Ladakh,-95,302
Jammu and Kashmir,-178,277
Uttara Khand,-85,178
Uttar Pradesh,-52,98
Bihar,74,60
Jharkhand,53,2
Odisha,40,-67
Sikkim,141,123
Meghalaya,192,53
Manipur,260,31
Nagaland,277,70
Arunachal Pradesh,273,122
Assam,227,75
Tripura,210,7
Mizoram,240,1